paper_id,pmid,doi,title,pdf_path,tei_path,normalized_path,parse_status,notes
pmid-34552006,34552006,10.1158/1535-7163.MCT-20-0981,Phosphoproteomics Identifies PI3K Inhibitor-selective Adaptive Responses in Pancreatic Cancer Cell Therapy and Resistance.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_34552006.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-34552006.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-34552006.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-35100734,35100734,10.1200/PO.19.00221,"Combined PIK3CA and FGFR Inhibition With Alpelisib and Infigratinib in Patients With PIK3CA-Mutant Solid Tumors, With or Without FGFR Alterations.",runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_35100734.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-35100734.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-35100734.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-35138919,35138919,10.1200/PO.21.00424,Phase II Study of Taselisib in PIK3CA-Mutated Solid Tumors Other Than Breast and Squamous Lung Cancer: Results From the NCI-MATCH ECOG-ACRIN Trial (EAY131) Subprotocol I.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_35138919.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-35138919.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-35138919.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-35968355,35968355,,PI3K inhibitors in trastuzumab-resistant HER2-positive breast cancer cells with PI3K pathway alterations.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_35968355.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-35968355.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-35968355.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-36611120,36611120,10.1038/s41388-022-02585-3,Alpelisib and fulvestrant in PIK3CA-mutated hormone receptor-positive HER2-negative advanced breast cancer included in the French early access program.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_36611120.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-36611120.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-36611120.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-42373848,42373848,10.1038/s41598-026-57970-9,A phase II study of alpelisib and capecitabine in patients with previously treated metastatic colorectal cancer (KCSG-CO21-04).,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_42373848.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-42373848.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-42373848.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-24351425,24351425,10.4161/cbt.27311,ERK2-dependent reactivation of Akt mediates the limited response of tumor cells with constitutive K-RAS activity to PI3K inhibition.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_24351425.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-24351425.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-24351425.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-24405121,24405121,10.1111/bjh.12734,"PI3KCA plays a major role in multiple myeloma and its inhibition with BYL719 decreases proliferation, synergizes with other therapies and overcomes stroma-induced resistance.",runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_24405121.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-24405121.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-24405121.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-24608574,24608574,10.1158/1535-7163.MCT-13-0865,Characterization of the novel and specific PI3Kα inhibitor NVP-BYL719 and development of the patient stratification strategy for clinical trials.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_24608574.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-24608574.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-24608574.json,normalized,PDF parsed and normalized through GROBID TEI.
pmid-24895459,24895459,10.1158/1078-0432.CCR-13-3377,Cotargeting of epidermal growth factor receptor and PI3K overcomes PI3K-Akt oncogenic dependence in pancreatic ductal adenocarcinoma.,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_24895459.pdf,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/02_parser_cache/01_grobid/pmid-24895459.tei.xml,runs/pi3k_alpha_inhibition_resistance_20260902/artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-24895459.json,normalized,PDF parsed and normalized through GROBID TEI.
