subsection_id,paper_rank,paper_id,pmid,pmcid,doi,title,source_format,hybrid_score,lexical_score,semantic_score,evidence_role_hint,selected_for_packet,selection_reason,top_chunk_uids
SUB001,1,pmid-33575071,33575071,PMC7646628,10.6004/jadpro.2020.11.7.9,Alpelisib: A Novel Therapy for Patients With PIK3CA-Mutated Metastatic Breast Cancer.,pmc_xml,0.082632,420.959500,2.453542,context_for_subsection,1,top_ranked,pmid-33575071:CH0032;pmid-33575071:CH0031;pmid-33575071:CH0028
SUB001,2,pmid-36428975,36428975,PMC9688837,10.3390/cells11223545,Analytical Performance of Next-Generation Sequencing and RT-PCR on Formalin-Fixed Paraffin-Embedded Tumor Tissues for PIK3CA Testing in HR+/HER2- Breast Cancer.,pmc_xml,0.070891,246.033664,1.649721,primary_for_subsection,1,top_ranked,pmid-36428975:CH0005;pmid-36428975:CH0013
SUB001,3,pmid-36321996,36321996,PMC10011882,10.1158/1078-0432.CCR-22-2115,Biology and Targetability of the Extended Spectrum of PIK3CA Mutations Detected in Breast Carcinoma.,pmc_xml,0.069196,128.315105,2.424704,primary_for_subsection,1,top_ranked,pmid-36321996:CH0005;pmid-36321996:CH0001;pmid-36321996:CH0039
SUB001,4,pmid-33602685,33602685,PMC8282704,10.1158/1078-0432.CCR-20-4879,Clinical and Biomarker Results from Phase I/II Study of PI3K Inhibitor Alpelisib plus Nab-paclitaxel in HER2-Negative Metastatic Breast Cancer.,pmc_xml,0.068070,362.627772,0.861469,primary_for_subsection,1,top_ranked,pmid-33602685:CH0017;pmid-33602685:CH0018;pmid-33602685:CH0006
SUB001,5,pmid-33168657,33168657,PMC8535764,10.1158/1078-0432.CCR-20-3652,"FDA Approval Summary: Alpelisib Plus Fulvestrant for Patients with HR-positive, HER2-negative, PIK3CA-mutated, Advanced or Metastatic Breast Cancer.",pmc_xml,0.058891,388.231583,1.587208,context_for_subsection,1,top_ranked,pmid-33168657:CH0031;pmid-33168657:CH0007;pmid-33168657:CH0001
SUB001,6,pmid-31859350,31859350,PMC6923785,10.1093/annonc/mdz280,Biomarkers of response and resistance to PI3K inhibitors in estrogen receptor-positive breast cancer patients and combination therapies involving PI3K inhibitors.,pmc_xml,0.057592,364.787213,1.623268,global_primary_retrieved,1,top_ranked,pmid-31859350:CH0001;pmid-31859350:CH0024;pmid-31859350:CH0031
SUB001,7,pmid-34012367,34012367,PMC8114069,10.1159/000514794,First Experiences with Alpelisib in Clinical Routine: Case Reports from a German Breast Center.,pdf,0.057506,388.377620,1.588153,context_for_subsection,1,top_ranked,pmid-34012367:CH0005;pmid-34012367:CH0021;pmid-34012367:CH0006
SUB001,8,pmid-33780274,33780274,PMC8210974,10.1200/JCO.20.01139,"Patient-Reported Outcomes in Patients With PIK3CA-Mutated Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative Advanced Breast Cancer From SOLAR-1.",pmc_xml,0.057347,232.047227,1.591961,primary_for_subsection,1,top_ranked,pmid-33780274:CH0001;pmid-33780274:CH0008;pmid-33780274:CH0012
SUB001,9,pmid-34754095,34754095,PMC8810831,10.1038/s41416-021-01601-9,Sensitive and robust liquid biopsy-based detection of PIK3CA mutations in hormone-receptor-positive metastatic breast cancer patients.,pdf,0.057191,240.918530,0.852136,primary_for_subsection,1,top_ranked,pmid-34754095:CH0005;pmid-34754095:CH0033
SUB001,10,pmid-33386585,33386585,PMC8065000,10.1007/s12282-020-01199-5,PIK3CA somatic alterations in invasive breast cancers: different spectrum from Caucasians to Chinese detected by next generation sequencing.,pmc_xml,0.057161,352.503025,0.791858,primary_for_subsection,1,top_ranked,pmid-33386585:CH0006;pmid-33386585:CH0019;pmid-33386585:CH0016
