reference_number,paper_id,authors,PMID,PMCID,DOI,title,journal,publication_year,publication_types
1,pmid-33168657,"Narayan P, Prowell TM, Gao JJ, et al.",33168657,PMC8535764,10.1158/1078-0432.CCR-20-3652,"FDA Approval Summary: Alpelisib Plus Fulvestrant for Patients with HR-positive, HER2-negative, PIK3CA-mutated, Advanced or Metastatic Breast Cancer.",Clinical cancer research : an official journal of the American Association for Cancer Research,2020,Journal Article;Randomized Controlled Trial
2,pmid-36321996,"Rugo HS, Raskina K, Schrock AB, et al.",36321996,PMC10011882,10.1158/1078-0432.CCR-22-2115,Biology and Targetability of the Extended Spectrum of PIK3CA Mutations Detected in Breast Carcinoma.,Clinical cancer research : an official journal of the American Association for Cancer Research,2023,Editorial;Comment
3,pmid-36428975,"Venetis K, Pepe F, Munzone E, et al.",36428975,PMC9688837,10.3390/cells11223545,Analytical Performance of Next-Generation Sequencing and RT-PCR on Formalin-Fixed Paraffin-Embedded Tumor Tissues for PIK3CA Testing in HR+/HER2- Breast Cancer.,Cells,2022,"Journal Article;Research Support, Non-U.S. Gov't"
4,pmid-33575071,"Wilhoit T, Patrick JM, May MB",33575071,PMC7646628,10.6004/jadpro.2020.11.7.9,Alpelisib: A Novel Therapy for Patients With PIK3CA-Mutated Metastatic Breast Cancer.,Journal of the advanced practitioner in oncology,2020,Journal Article
5,pmid-33602685,"Sharma P, Abramson VG, O'Dea A, et al.",33602685,PMC8282704,10.1158/1078-0432.CCR-20-4879,Clinical and Biomarker Results from Phase I/II Study of PI3K Inhibitor Alpelisib plus Nab-paclitaxel in HER2-Negative Metastatic Breast Cancer.,Clinical cancer research : an official journal of the American Association for Cancer Research,2021,"Clinical Trial, Phase I;Clinical Trial, Phase II;Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
6,pmid-41925922,"Hörner M, Tretschock LM, John N, et al.",41925922,PMC13046609,10.1007/s10549-026-07939-z,Alpelisib and Fulvestrant in PIK3CA-mutated hormone receptor-positive HER2-negative advanced breast cancer included in the German PRAEGNANT trial.,Breast cancer research and treatment,2026,Journal Article;Multicenter Study;Observational Study
7,pmid-34173298,,34173298,PMC8262312,10.1002/onco.13873,Potential for Long-Term Disease Control with Alpelisib Plus Fulvestrant Spans Patient Subgroups in HR+ PIK3CA-Mutated Advanced Breast Cancer.,The oncologist,2021,"Clinical Trial, Phase III;Journal Article;Randomized Controlled Trial"
8,pmid-32864625,"Razavi P, Dickler MN, Shah PD, et al.",32864625,PMC7450824,10.1038/s43018-020-0047-1,Alterations in PTEN and ESR1 promote clinical resistance to alpelisib plus aromatase inhibitors.,Nature cancer,2020,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
9,pmid-41681940,"Loizidis S, Michaelides D, Marcou Y, et al.",41681940,PMC12896634,10.3390/cancers18030468,Comparison Between Alpelisib Plus Endocrine Therapy and Everolimus Plus Endocrine Therapy After CDK4/6 Inhibitors Progression in Patients with PIK3CA-Mutant Metastatic Breast Cancer: A Single-Center Retrospective Study.,Cancers,2026,Journal Article
10,pmid-40152314,"Pancirov M, Flam J, Šuto Pavičić J, et al.",40152314,PMC11950915,10.1093/oncolo/oyaf023,Dynamics of hyperglycemia of patients treated with alpelisib: exploratory interim analysis of ITACA trial.,The oncologist,2025,"Journal Article;Research Support, Non-U.S. Gov't"
11,pmid-38638399,"Llombart-Cussac A, Pérez-Garcia JM, Ruiz Borrego M, et al.",38638399,PMC11024566,10.1016/j.eclinm.2024.102520,"Preventing alpelisib-related hyperglycaemia in HR+/HER2-/PIK3CA-mutated advanced breast cancer using metformin (METALLICA): a multicentre, open-label, single-arm, phase 2 trial.",EClinicalMedicine,2024,Journal Article
12,pmid-37743730,"Shen S, Chen Y, Carpio A, Chang C, Iyengar NM",37743730,PMC10863751,10.1002/cncr.34928,"Incidence, risk factors, and management of alpelisib-associated hyperglycemia in metastatic breast cancer.",Cancer,2023,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural"
13,pmid-40454641,"Jhaveri KL, Im SA, Saura C, et al.",40454641,PMC13496148,10.1056/NEJMoa2501796,Overall Survival with Inavolisib in PIK3CA-Mutated Advanced Breast Cancer.,The New England journal of medicine,2025,"Journal Article;Randomized Controlled Trial;Clinical Trial, Phase III;Multicenter Study"
14,pmid-39236276,"Jhaveri KL, Accordino MK, Bedard PL, et al.",39236276,PMC11575912,10.1200/JCO.24.00110,"Phase I/Ib Trial of Inavolisib Plus Palbociclib and Endocrine Therapy for PIK3CA-Mutated, Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative Advanced or Metastatic Breast Cancer.",Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2024,"Clinical Trial, Phase I;Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural"
15,pmid-42202490,"Im SA, Kalinsky K, Jhaveri KL, et al.",42202490,PMC13235453,10.1016/j.esmoop.2026.107735,"Safety analyses of the INAVO120 randomised phase III trial of inavolisib or placebo with palbociclib-fulvestrant in patients with PIK3CA-mutated, hormone receptor-positive, HER2-negative, endocrine-resistant advanced breast cancer.",ESMO open,2026,"Journal Article;Randomized Controlled Trial;Clinical Trial, Phase III"
16,pmid-34544753,"Song KW, Edgar KA, Hanan EJ, et al.",34544753,PMC9762331,10.1158/2159-8290.CD-21-0072,RTK-Dependent Inducible Degradation of Mutant PI3Kα Drives GDC-0077 (Inavolisib) Efficacy.,Cancer discovery,2021,"Journal Article;Research Support, Non-U.S. Gov't"
